date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-02-21,52.5,42.1,64.0,0.0,344.0,4.2,1030.0
2021-02-22,56.5,45.0,72.0,0.0,354.0,3.6,1025.0
2021-02-23,59.5,46.0,78.1,0.0,337.0,5.0,1020.0
2021-02-24,57.6,43.0,71.1,0.0,351.0,6.8,1021.7
2021-02-25,56.7,46.9,66.9,0.0,321.0,9.2,1023.7
2021-02-26,51.4,42.1,62.1,0.0,334.0,6.5,1021.3
2021-02-27,51.8,43.0,62.1,0.0,326.0,9.2,1020.9
2021-02-28,54.5,41.0,68.0,0.0,8.0,5.5,1021.6
2021-03-01,57.2,43.0,70.0,0.0,184.0,6.8,1019.2
2021-03-02,54.0,43.0,66.0,0.0,343.0,5.0,1013.2
2021-03-03,55.2,48.0,69.1,0.0,317.0,5.0,1010.1
2021-03-04,53.8,44.1,66.9,0.0,127.0,7.1,1022.8
2021-03-05,55.6,44.1,66.9,0.0,175.0,8.0,1020.4
2021-03-06,51.6,46.9,59.0,0.217,332.0,8.5,1020.5
2021-03-07,50.4,39.0,61.0,0.0,339.0,6.8,1019.7
2021-03-08,50.9,44.1,59.0,0.0,209.0,6.2,1022.0
2021-03-09,49.8,44.1,59.0,0.209,158.0,9.8,1019.3
2021-03-10,46.9,44.1,52.0,0.681,138.0,6.5,1014.3
2021-03-11,48.2,44.1,57.0,0.024,327.0,6.4,1018.4
2021-03-12,51.8,39.0,66.0,0.0,332.0,6.0,1021.1
2021-03-13,50.5,44.1,59.0,0.0,345.0,6.3,1025.7
2021-03-14,49.25,44.1,56.05,0.0195,322.5,9.6,1021.45
2021-03-15,48.0,44.1,53.1,0.039,300.0,12.9,1017.2
2021-03-16,48.0,37.0,60.1,0.0,3.0,6.5,1018.0
2021-03-17,47.8,39.0,57.0,0.0,333.0,4.2,1019.5
2021-03-18,54.0,50.0,60.1,0.228,174.0,8.1,1019.1
2021-03-19,54.5,48.9,60.1,0.008,337.0,5.6,1021.4
2021-03-20,50.0,39.9,59.0,0.0,340.0,7.7,1025.4
2021-03-21,51.4,41.0,64.9,0.0,341.0,6.5,1024.5
2021-03-22,51.6,39.0,62.1,0.0,340.0,7.6,1022.3
2021-03-23,56.8,46.0,66.0,0.0,324.0,15.3,1017.7
2021-03-24,57.2,46.0,69.1,0.0,327.0,6.8,1016.3
2021-03-25,53.6,46.9,62.1,0.0,331.0,6.5,1010.5
2021-03-26,56.1,42.1,71.1,0.0,335.0,6.7,1016.7
2021-03-27,60.1,45.0,75.0,0.0,346.0,5.5,1023.8
2021-03-28,60.3,46.9,75.9,0.0,325.0,6.3,1023.3
2021-03-29,55.2,46.0,64.0,0.0,340.0,6.2,1017.2
2021-03-30,62.8,48.0,77.0,0.0,333.0,6.4,1016.0
2021-03-31,65.1,46.0,82.9,0.0,340.0,4.5,1018.4
2021-04-01,66.9,50.0,84.9,0.0,352.0,5.7,1014.0
2021-04-02,58.6,50.0,70.0,0.0,330.0,6.3,1015.9
2021-04-03,54.5,50.0,63.0,0.0,358.0,7.6,1021.0
2021-04-04,54.9,50.0,63.0,0.0,322.0,9.1,1021.7
2021-04-05,54.3,50.0,62.1,0.0,321.0,8.3,1018.2
2021-04-06,55.2,50.0,66.0,0.0,343.0,6.6,1017.9
2021-04-07,54.0,50.0,62.1,0.0,339.0,9.2,1021.7
2021-04-08,54.5,45.0,66.9,0.0,342.0,5.8,1021.7
2021-04-09,53.4,46.9,62.1,0.0,342.0,7.2,1020.6
2021-04-10,55.2,44.1,68.0,0.0,344.0,5.8,1018.4
2021-04-11,55.4,44.1,72.0,0.0,338.0,5.2,1012.7
2021-04-12,57.2,45.0,73.0,0.0,342.0,4.5,1010.6
2021-04-13,55.8,48.9,64.0,0.0,294.0,8.1,1011.4
2021-04-14,57.0,46.0,70.0,0.0,90.0,8.4,1013.9
2021-04-15,55.9,46.0,66.9,0.0,283.0,8.0,1016.8
2021-04-16,55.4,48.0,66.0,0.0,339.0,7.6,1016.7
2021-04-17,57.2,48.9,69.1,0.0,336.0,7.6,1017.4
2021-04-18,62.8,48.0,82.0,0.0,346.0,5.4,1019.0
2021-04-19,57.6,50.0,66.9,0.0,332.0,6.5,1018.9
2021-04-20,54.9,48.0,64.0,0.0,262.0,7.5,1014.1
2021-04-21,56.7,48.9,68.0,0.0,123.0,9.4,1011.3
2021-04-22,55.9,51.1,68.0,0.0,29.0,11.2,1013.9
2021-04-23,57.4,50.0,71.1,0.0,10.0,8.1,1015.8
2021-04-24,57.2,51.1,66.0,0.0,354.0,7.9,1016.1
2021-04-25,55.2,48.9,59.0,0.087,275.0,6.2,1012.7
2021-04-26,52.3,41.0,62.1,0.0,350.0,7.8,1013.6
2021-04-27,57.4,42.1,72.0,0.0,335.0,6.8,1016.4
2021-04-28,64.2,48.0,82.0,0.0,340.0,6.7,1021.1
2021-04-29,62.6,52.0,75.0,0.0,322.0,5.7,1022.6
2021-04-30,58.8,51.1,69.1,0.0,334.0,7.8,1020.7
2021-05-01,59.9,52.0,70.0,0.0,356.0,7.9,1017.1
2021-05-02,59.9,48.9,73.0,0.0,359.0,8.8,1014.0
2021-05-03,65.5,52.0,82.9,0.0,345.0,7.1,1013.1
2021-05-04,67.1,57.0,82.0,0.0,336.0,6.5,1013.7
2021-05-05,64.6,54.0,82.0,0.0,332.0,6.1,1013.2
2021-05-06,59.4,52.0,70.0,0.0,344.0,8.9,1017.6
2021-05-07,59.9,50.0,71.1,0.0,348.0,7.3,1017.4
2021-05-08,65.7,50.0,82.9,0.0,329.0,7.8,1015.8
2021-05-09,65.5,55.0,81.0,0.0,337.0,8.1,1013.3
2021-05-10,67.5,54.0,84.0,0.0,334.0,7.3,1011.2
2021-05-11,66.7,54.0,82.0,0.0,302.0,6.6,1012.1
2021-05-12,62.6,54.0,73.9,0.0,326.0,6.8,1015.0
2021-05-13,59.2,52.0,71.1,0.0,320.0,7.1,1016.6
2021-05-14,58.3,52.0,68.0,0.0,354.0,7.4,1014.5
2021-05-15,57.9,52.0,66.0,0.0,314.0,6.6,1012.6
2021-05-16,59.4,54.0,70.0,0.0,159.0,9.3,1013.8
2021-05-17,58.6,53.1,68.0,0.0,22.0,8.7,1017.6
2021-05-18,61.0,50.0,73.0,0.0,352.0,7.7,1018.4
2021-05-19,57.7,50.0,66.0,0.0,318.0,9.3,1016.2
2021-05-20,56.3,48.0,66.0,0.0,322.0,12.3,1016.7
2021-05-21,58.8,50.0,70.0,0.0,341.0,8.4,1015.6
2021-05-22,59.4,50.0,73.0,0.0,127.0,10.9,1017.4
2021-05-23,57.9,50.0,68.0,0.0,340.0,8.4,1020.4
2021-05-24,60.8,52.0,73.9,0.0,338.0,7.8,1019.8
2021-05-25,61.3,54.0,69.1,0.0,354.0,7.3,1018.6
2021-05-26,60.8,51.1,73.9,0.0,347.0,6.8,1017.3
2021-05-27,61.0,50.0,71.1,0.0,353.0,6.3,1019.4
2021-05-28,62.1,54.0,72.0,0.0,335.0,8.1,1016.6
2021-05-29,58.3,54.0,66.0,0.0,356.0,8.6,1014.7
2021-05-30,64.4,54.0,82.0,0.0,341.0,6.6,1012.3
2021-05-31,69.8,57.0,82.9,0.0,324.0,5.8,1011.9
2021-06-01,66.4,57.9,79.0,0.0,326.0,6.8,1013.3
2021-06-02,62.4,55.9,73.0,0.0,323.0,6.9,1012.5
2021-06-03,65.8,54.0,80.1,0.0,344.0,4.8,1010.9
2021-06-04,64.6,57.0,73.9,0.0,320.0,6.8,1013.6
2021-06-05,64.9,52.0,80.1,0.0,326.0,7.1,1012.5
2021-06-06,63.7,53.1,75.9,0.0,50.0,11.3,1010.5
2021-06-07,60.3,52.0,69.1,0.0,316.0,9.6,1012.9
2021-06-08,59.0,51.1,68.0,0.0,327.0,9.4,1017.6
2021-06-09,58.6,51.1,68.0,0.0,311.0,9.7,1020.9
2021-06-10,59.2,50.0,70.0,0.0,336.0,9.4,1023.2
2021-06-11,62.1,50.0,73.0,0.0,343.0,8.3,1018.8
2021-06-12,68.0,60.1,79.0,0.0,332.0,9.0,1014.9
2021-06-13,68.9,62.1,77.0,0.0,346.0,9.8,1014.1
2021-06-14,67.8,61.0,75.0,0.0,343.0,9.3,1017.0
2021-06-15,66.0,55.9,77.0,0.0,336.0,9.9,1018.8
2021-06-16,72.0,57.0,88.0,0.0,339.0,5.5,1014.3
2021-06-17,77.4,62.1,93.9,0.0,329.0,5.3,1008.6
2021-06-18,75.7,63.0,91.9,0.0,321.0,6.2,1006.2
2021-06-19,71.4,62.1,82.9,0.0,308.0,7.7,1006.9
2021-06-20,66.4,55.9,78.1,0.0,314.0,6.5,1009.7
2021-06-21,66.2,57.0,77.0,0.0,328.0,8.0,1012.6
2021-06-22,68.2,61.0,78.1,0.0,224.0,8.0,1012.1
2021-06-23,66.9,61.0,77.0,0.0,291.0,9.8,1013.1
2021-06-24,65.7,60.1,75.9,0.0,345.0,8.3,1016.0
2021-06-25,64.6,59.0,73.9,0.0,338.0,7.0,1015.6
2021-06-26,66.0,60.1,77.0,0.0,335.0,7.8,1013.1
2021-06-27,64.6,59.0,73.9,0.0,333.0,7.7,1010.2
2021-06-28,65.3,59.0,75.0,0.0,335.0,8.7,1009.7
2021-06-29,66.4,59.0,75.9,0.0,334.0,7.8,1009.5
2021-06-30,66.2,60.1,75.0,0.0,338.0,7.6,1011.6
2021-07-01,67.1,59.0,78.1,0.0,349.0,8.7,1012.5
2021-07-02,66.6,60.1,78.1,0.0,338.0,7.7,1012.7
2021-07-03,65.5,59.0,75.9,0.0,344.0,7.5,1013.6
2021-07-04,65.7,59.0,75.9,0.0,316.0,9.3,1014.5
2021-07-05,64.9,59.0,75.9,0.0,355.0,8.2,1015.2
2021-07-06,64.2,59.0,73.0,0.0,334.0,8.6,1016.2
2021-07-07,62.8,57.0,70.0,0.0,337.0,8.3,1013.7
2021-07-08,69.6,57.0,84.9,0.0,343.0,4.6,1010.2
2021-07-09,74.3,64.0,86.0,0.0,332.0,6.5,1011.6
2021-07-10,70.2,59.0,82.9,0.0,330.0,7.0,1013.1
2021-07-11,65.5,57.9,73.9,0.0,323.0,8.4,1012.5
2021-07-12,62.8,57.0,72.0,0.0,342.0,7.6,1012.6
2021-07-13,63.5,57.0,73.9,0.0,355.0,7.0,1012.3
2021-07-14,65.1,55.9,79.0,0.0,349.0,9.4,1013.1
2021-07-15,62.6,57.0,73.0,0.0,333.0,7.8,1015.1
2021-07-16,64.4,53.1,78.1,0.0,353.0,6.7,1013.4
2021-07-17,67.3,54.0,81.0,0.0,289.0,7.7,1013.0
2021-07-18,70.2,57.9,84.0,0.0,321.0,6.5,1014.4
2021-07-19,69.6,60.1,82.0,0.0,328.0,6.8,1015.6
2021-07-20,65.8,57.9,75.0,0.0,330.0,5.3,1016.3
2021-07-21,66.6,57.0,77.0,0.0,325.0,6.6,1013.5
2021-07-22,65.3,57.0,75.0,0.0,337.0,6.5,1014.0
2021-07-23,67.3,55.0,82.0,0.0,330.0,7.9,1015.3
2021-07-24,66.7,55.0,80.1,0.0,328.0,6.3,1014.7
2021-07-25,67.5,57.0,81.0,0.0,328.0,5.9,1013.3
2021-07-26,67.6,59.0,81.0,0.0,331.0,5.5,1012.7
2021-07-27,71.6,62.1,84.0,0.0,330.0,7.0,1014.6
2021-07-28,70.2,61.0,82.0,0.0,326.0,7.1,1015.9
2021-07-29,70.5,61.0,81.0,0.0,328.0,6.1,1013.4
2021-07-30,69.8,61.0,82.0,0.0,324.0,6.7,1012.8
2021-07-31,69.4,61.0,81.0,0.0,294.0,8.5,1015.7
2021-08-01,66.9,59.0,77.0,0.0,336.0,7.2,1017.4
2021-08-02,67.1,57.0,79.0,0.0,339.0,6.6,1018.2
2021-08-03,66.9,57.9,81.0,0.0,327.0,7.3,1016.0
2021-08-04,64.8,57.9,75.0,0.0,336.0,7.7,1014.7
2021-08-05,65.8,60.1,75.0,0.0,343.0,8.1,1015.9
2021-08-06,69.4,59.0,84.9,0.0,338.0,5.6,1013.9
2021-08-07,69.3,61.0,82.0,0.0,330.0,6.6,1011.6
2021-08-08,69.1,59.0,82.0,0.0,314.0,7.4,1011.0
2021-08-09,68.2,57.9,82.0,0.0,297.0,8.0,1011.6
2021-08-10,69.8,59.0,86.0,0.0,335.0,5.9,1012.8
2021-08-11,70.0,62.1,82.0,0.0,330.0,6.5,1013.9
2021-08-12,69.8,62.1,81.0,0.0,321.0,7.2,1014.7
2021-08-13,68.5,60.1,79.0,0.0,327.0,7.0,1016.9
2021-08-14,69.3,61.0,79.0,0.0,330.0,6.8,1017.4
2021-08-15,69.1,61.0,80.1,0.0,327.0,6.1,1014.3
2021-08-16,70.0,61.0,82.0,0.0,330.0,6.8,1009.8
2021-08-17,69.3,61.0,82.0,0.0,347.0,7.6,1008.5
2021-08-18,66.4,60.1,77.0,0.0,290.0,9.6,1010.0
2021-08-19,66.7,59.0,77.0,0.0,330.0,6.2,1012.6
2021-08-20,66.0,59.0,75.0,0.0,307.0,5.6,1009.8
2021-08-21,66.2,60.1,75.9,0.0,188.0,10.3,1008.6
2021-08-22,66.0,60.1,78.1,0.0,323.0,7.9,1009.5
2021-08-23,65.3,55.0,80.1,0.0,292.0,7.6,1010.6
2021-08-24,65.5,57.9,78.1,0.0,288.0,7.5,1012.8
2021-08-25,64.4,57.0,75.9,0.0,321.0,6.5,1015.2
2021-08-26,68.5,55.9,82.9,0.0,338.0,4.4,1013.7
2021-08-27,75.4,60.1,91.0,0.0,347.0,4.3,1007.7
2021-08-28,77.7,64.0,95.0,0.0,336.0,5.0,1006.1
2021-08-29,72.3,63.0,87.1,0.0,331.0,5.7,1008.6
